Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Denzel Mims,WR,NYJ,10,269,27,42,0,9,3,9,13.3,4.9
C.J. Ham,RB,MIN,15,330,22,33,2,5,7,8,15.9,4.8
Ty Montgomery,RB,NO,14,300,21,34,5,9,10,14,13.9,4.6
Tajae Sharpe,WR,ATL,14,500,36,57,0,7,5,7,23.0,4.6
Trinity Benson,WR,DET,7,234,33,48,0,9,4,9,10.3,4.4
Brycen Hopkins,TE,LAR,1,22,22,33,0,5,5,5,0.9,4.1
Shane Zylstra,TE,DET,3,82,27,42,0,9,4,9,3.4,4.1
Terrace Marshall Jr.,WR,CAR,12,392,33,48,0,8,4,8,15.8,4.0
Equanimeous St. Brown,WR,GB,12,289,24,36,1,6,4,7,11.2,3.9
Garrett Griffin,TE,NO,5,103,21,31,0,4,4,4,3.9,3.8
Blake Bell,TE,KC,12,262,22,31,2,5,5,6,9.7,3.7
Adam Shaheen,TE,MIA,9,301,33,48,0,5,4,5,11.0,3.7
Tyrell Williams,WR,DET,1,39,39,42,0,8,5,8,1.4,3.6
Kendall Blanton,TE,LAR,4,107,27,43,0,7,4,7,3.7,3.5
Patrick Ricard,RB,BAL,8,376,47,62,1,3,3,4,12.7,3.4
Ian Thomas,TE,CAR,14,572,41,62,0,5,3,5,18.8,3.3
Drew Sample,TE,CIN,10,262,26,40,0,6,4,6,8.1,3.1
Tre' McKitty,TE,LAC,6,152,25,34,0,5,4,5,4.5,3.0
Richard Rodgers,TE,PHI,1,38,38,51,0,5,5,5,1.1,2.9
Pharaoh Brown,TE,HOU,13,521,40,65,0,7,4,7,15.1,2.9
Kaden Smith,TE,NYG,4,113,28,42,0,3,3,3,3.3,2.9
Juwann Winfree,WR,GB,5,135,27,40,0,10,6,10,3.8,2.8
Luke Farrell,TE,JAC,9,207,23,36,0,5,3,5,5.6,2.7
Keith Kirkwood,WR,CAR,3,74,25,35,0,9,4,9,1.7,2.3
Cody Hollister,WR,TEN,3,147,49,69,0,5,3,5,3.3,2.2
Dazz Newsome,WR,CHI,3,103,34,45,0,5,2,5,2.3,2.2
David Sills V,WR,NYG,4,98,25,37,0,6,2,6,1.7,1.7
Johnny Mundt,TE,LAR,3,66,22,36,0,2,2,2,0.9,1.4
Jack Stoll,TE,PHI,6,171,29,43,0,3,2,3,2.2,1.3
Nick Boyle,TE,BAL,2,48,24,32,0,4,2,4,0.2,0.4
Eric Tomlinson,TE,BAL,7,166,24,31,0,1,1,1,0.7,0.4
Geronimo Allison,WR,DET,1,32,32,46,0,6,0,6,0.0,0.0
Darrell Daniels,TE,ARI,10,217,22,31,0,2,0,2,0.0,0.0
Noah Togiai,TE,PHI,1,24,24,32,0,0,0,0,0.0,0.0
Jalen Camp,WR,HOU,1,22,22,32,0,0,0,0,0.0,0.0
