Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Craig Reynolds,RB,DET,5,118,24,37,47,7,53,53,28.2,23.9
Ja'Marr Chase,WR,CIN,17,939,55,85,1,14,9,14,223.6,23.8
Danny Amendola,WR,HOU,8,191,24,38,0,20,13,20,44.8,23.5
Alex Collins,RB,SEA,11,257,23,41,42,4,46,46,59.8,23.3
Sony Michel,RB,LAR,17,538,32,49,39,6,43,45,125.3,23.3
Taylor Heinicke,QB,WAS,16,1019,64,95,6,0,54,54,236.7,23.2
Tyler Huntley,QB,BAL,7,373,53,73,13,0,63,63,86.7,23.2
Najee Harris,RB,PIT,17,980,58,84,31,10,39,41,226.7,23.1
Matt Ryan,QB,ATL,17,1023,60,97,4,0,59,59,234.8,23.0
Cooper Rush,QB,DAL,4,110,28,39,8,0,51,51,25.1,22.8
Nick Foles,QB,CHI,1,74,74,100,5,0,53,53,16.8,22.7
Andy Dalton,QB,CHI,8,412,52,75,4,0,61,61,93.1,22.6
Drew Lock,QB,DEN,6,234,39,66,4,0,52,52,52.8,22.6
Davis Mills,QB,HOU,13,743,57,93,2,0,55,55,167.0,22.5
Mac Jones,QB,NE,17,1065,63,96,4,0,53,53,238.0,22.3
Sam Darnold,QB,CAR,12,771,64,93,6,0,59,59,170.5,22.1
Baker Mayfield,QB,CLE,14,877,63,96,4,0,52,52,193.8,22.1
Jared Goff,QB,DET,14,918,66,99,2,0,56,56,202.4,22.0
Devin Singletary,RB,BUF,17,718,42,60,26,7,32,33,157.8,22.0
Zach Wilson,QB,NYJ,13,741,57,94,4,0,56,56,162.9,22.0
Kendrick Bourne,WR,NE,17,573,34,52,2,12,12,14,125.5,21.9
Justin Jefferson,WR,MIN,17,1014,60,89,1,16,12,17,222.4,21.9
Gardner Minshew II,QB,PHI,3,159,53,76,6,0,43,43,34.6,21.8
Myles Gaskin,RB,MIA,17,575,34,50,30,11,39,41,124.6,21.7
Rex Burkhead,RB,HOU,15,367,24,39,33,9,40,42,79.3,21.6
Zack Moss,RB,BUF,13,380,29,42,25,8,31,34,82.2,21.6
Justin Fields,QB,CHI,12,635,53,84,11,0,54,54,136.9,21.6
Tyreek Hill,WR,KC,17,867,51,73,1,18,14,19,185.5,21.4
Miles Sanders,RB,PHI,12,426,36,53,32,8,38,40,91.2,21.4
Devonta Freeman,RB,BAL,16,528,33,45,25,8,32,33,112.6,21.3
Ben Roethlisberger,QB,PIT,16,1076,67,99,2,0,58,58,228.0,21.2
Chase Edmonds,RB,ARI,12,476,40,57,24,11,33,36,100.3,21.1
Saquon Barkley,RB,NYG,13,513,39,61,32,11,40,43,107.6,21.0
Tyler Lockett,WR,SEA,16,813,51,87,0,13,9,13,168.4,20.7
Mark Andrews,TE,BAL,17,936,55,75,0,16,12,16,194.1,20.7
Mike Evans,WR,TB,16,915,57,82,0,12,8,13,188.5,20.6
Nyheim Hines,RB,IND,17,352,21,32,16,16,27,32,72.6,20.6
DK Metcalf,WR,SEA,17,820,48,83,0,16,9,16,169.3,20.6
Hunter Renfrow,WR,LV,17,758,45,66,0,17,14,17,156.1,20.6
Mark Ingram II,RB,NO,14,400,29,45,40,9,47,49,81.6,20.4
Tee Higgins,WR,CIN,14,710,51,76,0,15,10,15,145.1,20.4
Jacoby Brissett,QB,MIA,11,376,34,52,5,0,65,65,76.4,20.3
Ty Johnson,RB,NYJ,15,408,27,42,15,13,23,28,83.0,20.3
Lil'Jordan Humphrey,WR,NO,8,182,23,37,0,10,7,10,36.9,20.3
Colt McCoy,QB,ARI,7,209,30,41,11,0,58,58,42.3,20.2
Devontae Booker,RB,NYG,16,519,32,50,28,9,36,37,104.1,20.1
Jamal Agnew,WR,JAC,10,260,26,41,3,15,12,18,52.0,20.0
Mason Rudolph,QB,PIT,2,97,49,61,5,0,65,65,19.4,20.0
Trevor Lawrence,QB,JAC,17,1078,63,99,7,0,63,63,216.0,20.0
Elijah Moore,WR,NYJ,11,476,43,65,1,16,10,17,95.2,20.0
Le'Veon Bell,RB,TB,8,170,21,29,23,4,26,27,33.1,19.5
Cedrick Wilson Jr.,WR,DAL,14,526,38,52,0,12,10,13,102.8,19.5
Jeff Wilson Jr.,RB,SF,9,228,25,39,35,4,38,38,44.5,19.5
A.J. Brown,WR,TEN,13,604,46,69,0,17,11,18,117.9,19.5
Braxton Berrios,WR,NYJ,16,390,24,38,2,17,14,18,75.1,19.3
