RK,TIERS,PLAYER NAME,TEAM,POS,AVG.,STD.DEV
192,10,Hayden Hurst,CIN,TE25,198.2,30.1
193,10,Kenyan Drake,LV,RB61,201.9,44.0
194,10,Sterling Shepard,NYG,WR74,198.6,43.0
195,10,Kendrick Bourne,NE,WR75,203.9,27.8
196,11,Matt Gay,LAR,K3,194.2,22.4
197,11,Donovan Peoples-Jones,CLE,WR76,210.5,25.1
198,11,Curtis Samuel,WAS,WR77,205.8,29.9
199,11,Dallas Cowboys,DAL,DST9,199.7,18.6
200,11,Daniel Carlson,LV,K4,203.1,22.7
201,11,James White,NE,RB62,195.7,53.5
202,11,Evan McPherson,CIN,K5,206.1,27.4
203,11,Parris Campbell,IND,WR78,210.8,35.0
204,11,Deshaun Watson,CLE,QB25,205.4,67.3
205,11,Los Angeles Chargers,LAC,DST10,203.4,21.8
206,11,Miami Dolphins,MIA,DST11,204.4,18.9
207,11,Jalen Tolbert,DAL,WR79,199.8,68.9
208,11,Green Bay Packers,GB,DST12,208.4,17.0
209,11,Kansas City Chiefs,KC,DST13,209.3,29.8
210,11,KJ Hamler,DEN,WR80,220.2,41.8
211,11,Carson Wentz,WAS,QB26,226.4,40.1
212,11,David Bell,CLE,WR81,212.0,35.2
213,11,Chuba Hubbard,CAR,RB63,209.9,46.5
214,11,Wan'Dale Robinson,NYG,WR82,217.7,37.7
215,11,Zamir White,LV,RB64,221.5,54.3
216,11,Ryan Succop,TB,K6,215.2,16.3
217,11,A.J. Green,ARI,WR83,221.2,28.6
218,11,Boston Scott,PHI,RB65,219.6,38.8
219,11,Laviska Shenault Jr.,JAC,WR84,215.5,30.7
220,11,Matt Prater,ARI,K7,222.4,13.7
221,11,Brevin Jordan,HOU,TE26,219.2,33.4
222,11,Jared Goff,DET,QB27,233.7,45.9
223,11,Harrison Butker,KC,K8,219.7,17.8
224,11,Cleveland Browns,CLE,DST14,220.8,23.6
225,11,Tyrion Davis-Price,SF,RB66,215.5,57.8
226,11,Baltimore Ravens,BAL,DST15,230.9,33.3
227,11,Samaje Perine,CIN,RB67,227.9,34.6
228,11,Philadelphia Eagles,PHI,DST16,234.2,18.3
